"subject","location","age","sex","condition","rating","cell","frequency","duration","effect","condition_simple","freq_A","freq_B","freq_C","freq_D","dur_A","dur_B","dur_C","dur_D"
33,"mt",NA,"","baseline",5,"A",36,800,"baseline","baseline","36","36","36","36","800","800","800","800"
34,"mt",NA,"","baseline",0,"A",36,800,"baseline","baseline","36","36","36","36","800","800","800","800"
35,"mt",NA,"","baseline",-2,"A",36,800,"baseline","baseline","36","36","36","36","800","800","800","800"
36,"mt",NA,"","baseline",4,"A",36,800,"baseline","baseline","36","36","36","36","800","800","800","800"
37,"mt",NA,"","baseline",7,"A",36,800,"baseline","baseline","36","36","36","36","800","800","800","800"
38,"mt",NA,"","baseline",-6,"A",36,800,"baseline","baseline","36","36","36","36","800","800","800","800"
39,"mt",NA,"","baseline",4,"A",36,800,"baseline","baseline","36","36","36","36","800","800","800","800"
40,"mt",NA,"","baseline",1,"A",36,800,"baseline","baseline","36","36","36","36","800","800","800","800"
41,"mt",NA,"","baseline",5,"A",36,800,"baseline","baseline","36","36","36","36","800","800","800","800"
42,"mt",NA,"","baseline",-8,"A",36,800,"baseline","baseline","36","36","36","36","800","800","800","800"
43,"mt",NA,"","baseline",3,"A",36,800,"baseline","baseline","36","36","36","36","800","800","800","800"
1,"nz",24,"female","fewA",-8,"A",9,800,"frequency","few","9","36","36","36","800","800","800","800"
2,"nz",21,"female","fewA",-7,"A",9,800,"frequency","few","9","36","36","36","800","800","800","800"
18,"nz",20,"male","fewA",-6,"A",9,800,"frequency","few","9","36","36","36","800","800","800","800"
33,"nz",20,"male","fewA",-3,"A",9,800,"frequency","few","9","36","36","36","800","800","800","800"
40,"nz",43,"female","fewA",1,"A",9,800,"frequency","few","9","36","36","36","800","800","800","800"
41,"nz",21,"female","fewA",-8,"A",9,800,"frequency","few","9","36","36","36","800","800","800","800"
42,"nz",20,"male","fewA",-4,"A",9,800,"frequency","few","9","36","36","36","800","800","800","800"
44,"nz",22,"male","fewA",-4,"A",9,800,"frequency","few","9","36","36","36","800","800","800","800"
50,"nz",21,"female","fewA",-1,"A",9,800,"frequency","few","9","36","36","36","800","800","800","800"
56,"nz",24,"female","fewA",0,"A",9,800,"frequency","few","9","36","36","36","800","800","800","800"
57,"nz",22,"male","fewA",8,"A",9,800,"frequency","few","9","36","36","36","800","800","800","800"
61,"nz",18,"female","fewA",-7,"A",9,800,"frequency","few","9","36","36","36","800","800","800","800"
65,"nz",20,"female","fewA",-3,"A",9,800,"frequency","few","9","36","36","36","800","800","800","800"
67,"nz",24,"female","fewA",-9,"A",9,800,"frequency","few","9","36","36","36","800","800","800","800"
68,"nz",20,"female","fewA",-6,"A",9,800,"frequency","few","9","36","36","36","800","800","800","800"
70,"nz",20,"female","fewA",-4,"A",9,800,"frequency","few","9","36","36","36","800","800","800","800"
75,"nz",21,"female","fewA",-10,"A",9,800,"frequency","few","9","36","36","36","800","800","800","800"
81,"nz",14,"female","fewA",-2,"A",9,800,"frequency","few","9","36","36","36","800","800","800","800"
87,"nz",45,"female","fewA",3,"A",9,800,"frequency","few","9","36","36","36","800","800","800","800"
109,"nz",21,"female","fewA",2,"A",9,800,"frequency","few","9","36","36","36","800","800","800","800"
126,"nz",20,"male","fewA",-10,"A",9,800,"frequency","few","9","36","36","36","800","800","800","800"
127,"nz",46,"female","fewA",0,"A",9,800,"frequency","few","9","36","36","36","800","800","800","800"
132,"nz",21,"male","fewA",-1,"A",9,800,"frequency","few","9","36","36","36","800","800","800","800"
137,"nz",29,"male","fewA",-2,"A",9,800,"frequency","few","9","36","36","36","800","800","800","800"
141,"nz",29,"female","fewA",-6,"A",9,800,"frequency","few","9","36","36","36","800","800","800","800"
142,"nz",31,"female","fewA",-5,"A",9,800,"frequency","few","9","36","36","36","800","800","800","800"
144,"nz",32,"female","fewA",-2,"A",9,800,"frequency","few","9","36","36","36","800","800","800","800"
146,"nz",35,"female","fewA",-4,"A",9,800,"frequency","few","9","36","36","36","800","800","800","800"
147,"nz",20,"female","fewA",-9,"A",9,800,"frequency","few","9","36","36","36","800","800","800","800"
149,"nz",29,"female","fewA",-8,"A",9,800,"frequency","few","9","36","36","36","800","800","800","800"
204,"nz",20,"female","fewA",-4,"A",9,800,"frequency","few","9","36","36","36","800","800","800","800"
213,"nz",27,"female","fewA",7,"A",9,800,"frequency","few","9","36","36","36","800","800","800","800"
216,"nz",50,"female","fewA",4,"A",9,800,"frequency","few","9","36","36","36","800","800","800","800"
219,"nz",21,"female","fewA",1,"A",9,800,"frequency","few","9","36","36","36","800","800","800","800"
220,"nz",21,"male","fewA",-9,"A",9,800,"frequency","few","9","36","36","36","800","800","800","800"
225,"nz",20,"female","fewA",3,"A",9,800,"frequency","few","9","36","36","36","800","800","800","800"
226,"nz",20,"female","fewA",-4,"A",9,800,"frequency","few","9","36","36","36","800","800","800","800"
234,"nz",26,"male","fewA",2,"A",9,800,"frequency","few","9","36","36","36","800","800","800","800"
237,"nz",32,"female","fewA",1,"A",9,800,"frequency","few","9","36","36","36","800","800","800","800"
